Atlas ID,Original Title,Alternate Titles,ISWC,Chain ID,Chain,IP Name,IPI Name Number,IPI Base Number,IP role,PER Own,PER Soc,MEC Own,MEC Soc,Performers
AW0MHSWJ,HOMEM GALINHA,,T0393009910,A,,DIEGO MARTINS OLIVEIRA DA SILVA,00508729730,I-002500237-1,CA,"50,00",NS (099),"50,00",SBACEM (066),
AW0MHSWJ,HOMEM GALINHA,,T0393009910,B,A,FURACAO 2000 PRODUCOES ARTISTICAS,00477294413,I-002320138-7,E,"50,00",ABRAMUS (201),"50,00",ABRAMUS (201),
AW0J94DQ,ESQUEMA ROLO E BEIJO,ME AMAR DIREITO | ESQUEMA ROLO E BEIJO (ME AMAR DIREITO),T0401681728,A,,PHILIPE RANGEL SANTOS DE CASTRO,00722594929,I-003824597-3,CA,"25,00",SBACEM (066),"0,00",SBACEM (066),
AW0J94DQ,ESQUEMA ROLO E BEIJO,ME AMAR DIREITO | ESQUEMA ROLO E BEIJO (ME AMAR DIREITO),T0401681728,B,,MARCOS GABRIEL AGRA LEONIS,00670542842,I-003499171-2,CA,"25,00",UBC (093),"0,00",NS (099),
AW0J94DQ,ESQUEMA ROLO E BEIJO,ME AMAR DIREITO | ESQUEMA ROLO E BEIJO (ME AMAR DIREITO),T0401681728,C,,ELIAS ANDERSON DE SOUZA,00716706148,I-003787287-8,CA,"25,00",ABRAMUS (201),"0,00",ABRAMUS (201),
AW0J94DQ,ESQUEMA ROLO E BEIJO,ME AMAR DIREITO | ESQUEMA ROLO E BEIJO (ME AMAR DIREITO),T0401681728,D,A,WORK SHOW EDITORA E PRODUCOES MUSICAIS LTDA,00829327516,I-004508009-7,E,"8,33",ABRAMUS (201),"33,32",ABRAMUS (201),
AW0J94DQ,ESQUEMA ROLO E BEIJO,ME AMAR DIREITO | ESQUEMA ROLO E BEIJO (ME AMAR DIREITO),T0401681728,E,,EDITORA CLICHE EIRELI ME,00780782801,I-004196569-7,E,"8,34",UBC (093),"33,36",NS (099),
AW0J94DQ,ESQUEMA ROLO E BEIJO,ME AMAR DIREITO | ESQUEMA ROLO E BEIJO (ME AMAR DIREITO),T0401681728,F,,SOLANGE ALMEIDA PEREIRA BARBOSA ME,00842582721,I-004592030-5,E,"8,33",NS (099),"33,32",SBACEM (066),
AW0MHY8J,VEM COM O CHEFE,,T0396227158,A,,DIEGO MARTINS OLIVEIRA DA SILVA,00508729730,I-002500237-1,CA,"50,00",NS (099),"50,00",SBACEM (066),
AW0MHY8J,VEM COM O CHEFE,,T0396227158,B,A,FURACAO 2000 PRODUCOES ARTISTICAS,00477294413,I-002320138-7,E,"50,00",ABRAMUS (201),"50,00",ABRAMUS (201),
AW0MHY97,ARRASTA ELA PRA CA,,,A,,DOUGLAS FERREIRA DA DNU - SILVA,AP0655UO,,CA,"25,00",Non-IPI (999),"25,00",Non-IPI (999),
AW0MHY97,ARRASTA ELA PRA CA,,,B,,DIEGO MARTINS OLIVEIRA DA SILVA,00508729730,I-002500237-1,CA,"25,00",NS (099),"25,00",SBACEM (066),
AW0MHY97,ARRASTA ELA PRA CA,,,C,A,FURACAO 2000 PRODUCOES ARTISTICAS,00477294413,I-002320138-7,E,"25,00",ABRAMUS (201),"25,00",ABRAMUS (201),
AW0MHY97,ARRASTA ELA PRA CA,,,D,B,FURACAO 2000 PRODUCOES ARTISTICAS,00477294413,I-002320138-7,E,"25,00",ABRAMUS (201),"25,00",ABRAMUS (201),
AW0MAHP1,AMIGO SEU,,T0391396749,A,,APARECIDA DE FATIMA LEAO MORAES,00249319548,I-000327522-5,CA,"35,00",ASSIM (219),"35,00",ASSIM (219),
AW0MAHP1,AMIGO SEU,,T0391396749,B,,MARCELO THEODORO DE AGUIAR,00481748915,I-002346854-2,CA,"37,50",NS (099),"37,50",SBACEM (066),
AW0MAHP1,AMIGO SEU,,T0391396749,C,A,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"15,00",UBC (093),"15,00",NS (099),
AW0MAHP1,AMIGO SEU,,T0391396749,D,,UNKNOWN PUBLISHER,00288936892,I-001631070-4,E,"12,50",NS (099),"12,50",NS (099),
AW0ME6IM,HORSE MAN,,,A,,ROBERTO LOPES FERIGATO,00296318632,I-001742601-4,CA,"25,00",ABRAMUS (201),"25,00",ABRAMUS (201),
AW0ME6IM,HORSE MAN,,,B,,RUBENS ARJONA OSORIO,00593672900,I-003011099-5,CA,"25,00",SBACEM (066),"25,00",SBACEM (066),
AW0ME6IM,HORSE MAN,,,C,A,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"25,00",UBC (093),"25,00",NS (099),
AW0ME6IM,HORSE MAN,,,D,B,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"25,00",UBC (093),"25,00",NS (099),
AW0PDYWU,OCULOS ESCURO,,T0392627916,A,,ALEX DE OLIVEIRA BRAGA,00530101032,I-002621563-2,CA,"100,00",SBACEM (066),"100,00",SBACEM (066),
AW0PE705,MENINA DOS OLHOS DE DEUS,,T0396382889,A,,ALEX DE OLIVEIRA BRAGA,00530101032,I-002621563-2,CA,"50,00",SBACEM (066),"50,00",SBACEM (066),
AW0PE705,MENINA DOS OLHOS DE DEUS,,T0396382889,B,,MARCIA DE OLIVEIRA BRAGA,01055054488,I-005690201-1,CA,"50,00",ABRAMUS (201),"50,00",ABRAMUS (201),
AW0MEF9Z,DAYLIGHT,,,A,,VALQUIRIA CRISTINA GENU DE ANDRADE,00296278809,I-001742336-6,CA,"25,00",SBACEM (066),"25,00",SBACEM (066),
AW0MEF9Z,DAYLIGHT,,,B,,ROBERTO LOPES FERIGATO,00296318632,I-001742601-4,CA,"25,00",ABRAMUS (201),"25,00",ABRAMUS (201),
AW0MEF9Z,DAYLIGHT,,,C,A,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"25,00",UBC (093),"25,00",NS (099),
AW0MEF9Z,DAYLIGHT,,,D,B,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"25,00",UBC (093),"25,00",NS (099),
AW0MAI34,LOVE IS YOU,,,A,,HARDAT PERSAUD,00441327680,I-002107645-7,CA,"35,00",SBACEM (066),"35,00",SBACEM (066),
AW0MAI34,LOVE IS YOU,,,B,,MARIO LUCIO MARQUES DOS SANTOS,00431884353,I-002053901-7,CA,"35,00",UBC (093),"35,00",NS (099),
AW0MAI34,LOVE IS YOU,,,C,A,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"15,00",UBC (093),"15,00",NS (099),
AW0MAI34,LOVE IS YOU,,,D,B,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"15,00",UBC (093),"15,00",NS (099),
AW0MAI35,OUR LOVE,,,A,,HARDAT PERSAUD,00441327680,I-002107645-7,CA,"35,00",SBACEM (066),"35,00",SBACEM (066),
AW0MAI35,OUR LOVE,,,B,,MARIO LUCIO MARQUES DOS SANTOS,00431884353,I-002053901-7,CA,"35,00",UBC (093),"35,00",NS (099),
AW0MAI35,OUR LOVE,,,C,A,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"15,00",UBC (093),"15,00",NS (099),
AW0MAI35,OUR LOVE,,,D,B,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"15,00",UBC (093),"15,00",NS (099),
AW0MAITM,MALANDRO E MALANDRO MESMO,,,A,,ARY ALVES DE SOUZA,00066541668,I-001620553-9,CA,"25,00",UBC (093),"25,00",NS (099),
AW0MAITM,MALANDRO E MALANDRO MESMO,,,B,,OTACILIO DE SOUZA,00060023532,I-000207198-7,CA,"25,00",SBACEM (066),"25,00",SBACEM (066),
AW0MAITM,MALANDRO E MALANDRO MESMO,,,C,A | B,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"25,00",UBC (093),"25,00",NS (099),
AW0MAITM,MALANDRO E MALANDRO MESMO,,,D,A | B,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"25,00",UBC (093),"25,00",NS (099),
AW0MAJAR,LUNDU DA RAPARIGA,,,A,,JOEL MENEZES LOURENCO,00060273208,I-000218883-0,CA,"37,50",SBACEM (066),"37,50",SBACEM (066),
AW0MAJAR,LUNDU DA RAPARIGA,,,B,,TOTONHO,00443770551,I-002120663-1,CA,"37,50",SOCINPRO (189),"37,50",NS (099),
AW0MAJAR,LUNDU DA RAPARIGA,,,E,,ANTONIO CARLOS DE OLIVEIRA,00065909156,I-000307198-3,CA,"37,50",SICAM (086),"37,50",SICAM (086),
AW0MAJAR,LUNDU DA RAPARIGA,,,C,A | E,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"12,50",UBC (093),"12,50",NS (099),
AW0MAJAR,LUNDU DA RAPARIGA,,,D,A | B | E,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"12,50",UBC (093),"12,50",NS (099),
AW0MAJB5,LUZ DO TEU OLHAR,,T0390805829,A,,ARLINDO DOMINGOS DA CRUZ FILHO,00240126222,I-000230289-6,CA,"37,50",UBC (093),"37,50",NS (099),
AW0MAJB5,LUZ DO TEU OLHAR,,T0390805829,B,,JOSE FRANCO LATTARI,00211557793,I-000238248-9,CA,"37,50",SBACEM (066),"37,50",SBACEM (066),
AW0MAJB5,LUZ DO TEU OLHAR,,T0390805829,C,A,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"12,50",UBC (093),"12,50",NS (099),
AW0MAJB5,LUZ DO TEU OLHAR,,T0390805829,D,B,WARNER CHAPPELL EDICOES MUSICAIS LTDA,00232620014,I-001622147-7,E,"12,50",UBC (093),"12,50",NS (099),
AW0MAJB9,JUNTOS PARA AMAR,,,A,,JOAO AUGUSTO CEZAR,00656322642,I-003407311-3,CA,"25,00",SBACEM (066),"25,00",SBACEM (066),
AW0MAJB9,JUNTOS PARA AMAR,,,B,,MARCIO ANTONIO FERREIRA DE OLIVEIRA,00212402432,I-000010181-3,CA,"25,00",UBC (093),"25,00",ADDAF (002),
